title,imdb_id,production_companies
Raw Nerve,tt0102761,Action International Pictures
Raw Nerve,tt0102761,Pyodawn
Raw Justice,tt0110948,West Side Studios
Raw Justice,tt0110948,Winters Hollywood Entertainment Holdings Corporation
The Baby,tt0069754,Quintet Productions
Don't Go in the House,tt0080646,Turbine Films Inc.
Conquest,tt0085356,Clemi Cinematografica
Conquest,tt0085356,Conquest Productions
Conquest,tt0085356,Esme
Conquest,tt0085356,Golden Sun
Warlords of the 21st Century,tt0084887,WingNut Films
Warlords of the 21st Century,tt0084887,Battletruck Films Ltd.
The Ninja Squad,tt0199845,IFD Films & Arts Company
Ultimax Force,tt0092127,Puzon
Punk Vacation,tt0376098,Windjammer Productions Inc.
Suburbia,tt0086589,New World Pictures
An American Hippie in Israel,tt1388371,Box Office Spectaculars
Blood Beach,tt0082083,Compass International Pictures
Blood Beach,tt0082083,Empress Film Production Corporation
The Hunters of the Golden Cobra,tt0084104,Gico Cinematografica S.r.L.
The Hunters of the Golden Cobra,tt0084104,Regal
Intent to Kill,tt0107222,PM Entertainment Group
Maniac Cop,tt0095583,Shapiro-Glickenhaus Entertainment
Hard Ticket to Hawaii,tt0093146,Malibu Bay Films
Warlock,tt0098622,New World Pictures
Maximum Overdrive,tt0091499,DEG
Nekromantik,tt0093608,Jelinski & Buttgereit
Manos: The Hands of Fate,tt0060666,Norm-Iris
Manos: The Hands of Fate,tt0060666,Emerson Film Enterprises
Superman IV: The Quest for Peace,tt0094074,Warner Bros. Pictures
Superman IV: The Quest for Peace,tt0094074,Cannon Group
Superman IV: The Quest for Peace,tt0094074,London-Cannon Films
Superman IV: The Quest for Peace,tt0094074,Golan-Globus Productions
Flash Gordon,tt0080745,Universal Pictures
Flash Gordon,tt0080745,Dino De Laurentiis Company
Flash Gordon,tt0080745,Starling Films
Surf Nazis Must Die,tt0094077,Troma Entertainment
Evil,tt0813129,Ekso Productions
Zardoz,tt0070948,20th Century Fox
Zardoz,tt0070948,John Boorman Productions
Dark Angel,tt0099817,Epic Productions
Dark Angel,tt0099817,Vision International
Dark Angel,tt0099817,Vision PDG
Dark Angel,tt0099817,Trans World Entertainment (TWE)
The Girl in Room 2A,tt0075814,Euro Italian Film Production
TC 2000,tt0108277,Film One Productions
Interzone,tt0093268,Filmirage
Zaat,tt0072666,Barton Films
American Ninja,tt0088708,Cannon Group
American Ninja,tt0088708,Golan-Globus Productions
Krull,tt0085811,Columbia Pictures
Krull,tt0085811,Barclays Mercantile Industrial Finance
The Beastmaster,tt0083630,Leisure Investment Company
The Beastmaster,tt0083630,Beastmaster NV
