imdb_id,director
tt0102761,David A. Prior
tt0110948,David A. Prior
tt0069754,Ted Post
tt0080646,Joseph Ellison
tt0085356,Lucio Fulci
tt0084887,Harley Cokeliss
tt0199845,Godfrey Ho
tt0092127,Willy Milan
tt0376098,Stanley Lewis
tt0086589,Penelope Spheeris
tt1388371,Amos Sefer
tt0082083,Jeffrey Bloom
tt0084104,Antonio Margheriti
tt0107222,Charles T. Kanganis
tt0095583,William Lustig
tt0093146,Andy Sidaris
tt0098622,Steve Miner
tt0091499,Stephen King
tt0093608,Jörg Buttgereit
tt0060666,Harold P. Warren
tt0094074,Sidney J. Furie
tt0080745,Mike Hodges
tt0094077,Peter George
tt0813129,Giorgos Nousias
tt0070948,John Boorman
tt0099817,Craig R. Baxley
tt0075814,William Rose
tt0075814,Dick Randall
tt0108277,T.J. Scott
tt0093268,Deran Sarafian
tt0072666,Don Barton
tt0072666,Arnold Stevens
tt0088708,Sam Firstenberg
tt0085811,Peter Yates
tt0083630,Don Coscarelli
tt0138050,Samuel M. Sherman
tt0090564,Larry Gross
tt0088344,Gérard Oury
tt0253526,Fabrizio De Angelis
tt0088044,Danny Steinmann
tt0088044,Tom DeSimone
tt0094651,Dick Maas
tt0488046,Shay Casserley
tt0488046,Simon Linscheid
tt0169620,Lee Frost
tt0074768,Sergio Garrone
tt0071650,Don Edmonds
tt0084935,Antonio Margheriti
tt0096040,Joey Romero
tt0166145,Ignazio Dolce
tt0093631,Joseph L. Scanlan
tt0103923,Albert Pyun
tt0102984,Craig R. Baxley
tt0093790,Allan Holzman
tt0093790,Robert Short
tt0098156,Cullen Blaine
tt0091339,David A. Prior
tt0100531,Mats Helge Olsson
tt0100531,Anders Nilsson
tt0082806,Emmett Alston
tt0193524,Steve Binder
tt0193524,David Acomba
tt0081793,Lewis Jackson
tt0489210,Mohamed Khashoggi
tt0089003,Michael Winner
tt0090837,Jim Wynorski
tt0098257,Andy Sidaris
tt0083291,Paul Grau
tt0089243,Robert Clouse
tt0082431,Bruce D. Clark
tt0095560,Stewart Raffill
tt0093910,Yu Wang
tt0093910,Dusty Nelson
tt0098141,Mark Goldblatt
tt0080421,Jimmy T. Murakami
tt0080421,Roger Corman
tt0093621,Max Kleven
tt0106761,James Yukich
tt0102910,Mark Freed
tt0111552,Godfrey Ho
tt0220843,Willy Milan
tt0200642,Eddie Nicart
tt0199865,Godfrey Ho
tt0130236,Amir Shervan
tt0061595,Norman Taurog
tt0089883,Joel Silberg
tt0102655,Mark DiSalle
tt0092848,David A. Prior
tt0117433,Sidney J. Furie
tt0096417,Ulli Lommel
tt0079946,Luigi Cozzi
tt0101366,Peter Manoogian
tt0101931,Damian Klaus
tt0080771,William Sachs
tt0087945,Fred Olen Ray
tt0116671,Michael Cooney
tt0117550,John Murlowski
tt0099496,Jeffrey Mandel
tt0127045,Joseph Mangine
tt0082235,Frank De Felitta
tt0081383,Paul Lynch
tt0092744,John Quinn
tt0090213,Fritz Kiersch
tt0090849,Richard W. Haines
tt0090849,Lloyd Kaufman
tt0083739,Mark L. Lester
tt0085514,Giuliano Carnimeo
tt0085124,Enzo G. Castellari
tt0089091,Joe D'Amato
tt0085125,Sergio Martino
tt0091012,Cirio H. Santiago
tt0091166,Sergio Martino
tt0092675,Newt Arnold
tt0089695,Corey Yuen
tt0086434,Fabrizio De Angelis
tt0092549,Woo-sang Park
tt0092549,Y.K. Kim
tt0096000,Bruno Mattei
tt0099611,Frank Henenlotter
tt0199849,Godfrey Ho
tt0091621,Gil Bettman
tt0097228,Stephen Sayadian
tt0076937,Gianfranco Parolini
tt0311340,Jopi Burnama
tt0099969,Joel Silberg
