title,imdb_id,keywords
Raw Justice,tt0110948,prostitute
Raw Justice,tt0110948,bounty hunter
Raw Justice,tt0110948,mayor
Raw Justice,tt0110948,blackmail
Raw Justice,tt0110948,revenge
Raw Justice,tt0110948,explosion
The Baby,tt0069754,baby
The Baby,tt0069754,social worker
The Baby,tt0069754,grindhouse
The Baby,tt0069754,incest
Don't Go in the House,tt0080646,new york city
Don't Go in the House,tt0080646,dancing
Don't Go in the House,tt0080646,new jersey
Don't Go in the House,tt0080646,sadism
Don't Go in the House,tt0080646,revenge
Don't Go in the House,tt0080646,murder
Don't Go in the House,tt0080646,flashback
Don't Go in the House,tt0080646,priest
Don't Go in the House,tt0080646,serial killer
Don't Go in the House,tt0080646,slasher
Don't Go in the House,tt0080646,gasoline
Don't Go in the House,tt0080646,church
Don't Go in the House,tt0080646,maniac
Don't Go in the House,tt0080646,flamethrower
Don't Go in the House,tt0080646,disco
Don't Go in the House,tt0080646,old house
Don't Go in the House,tt0080646,psychotic
Don't Go in the House,tt0080646,burn victim
Don't Go in the House,tt0080646,abusive mother
Conquest,tt0085356,monster
Conquest,tt0085356,magic
Conquest,tt0085356,fog
Conquest,tt0085356,male friendship
Conquest,tt0085356,archer
Conquest,tt0085356,premonition
Conquest,tt0085356,archery
Conquest,tt0085356,atmospheric
Conquest,tt0085356,evil
Conquest,tt0085356,doppelgänger
Conquest,tt0085356,loner
Conquest,tt0085356,mist
Conquest,tt0085356,trippy
Conquest,tt0085356,dreamlike
Conquest,tt0085356,sword and sorcery
Warlords of the 21st Century,tt0084887,new zealand
Warlords of the 21st Century,tt0084887,post-apocalyptic future
Warlords of the 21st Century,tt0084887,dystopia
Warlords of the 21st Century,tt0084887,truck
Warlords of the 21st Century,tt0084887,post nuclear
Ultimax Force,tt0092127,prisoner of war
Ultimax Force,tt0092127,vietnam
Ultimax Force,tt0092127,ninja
Ultimax Force,tt0092127,ninja warrior
Punk Vacation,tt0376098,revenge
Punk Vacation,tt0376098,gang
Punk Vacation,tt0376098,infiltration
Punk Vacation,tt0376098,criminal
Punk Vacation,tt0376098,held hostage
Suburbia,tt0086589,punk rock
Suburbia,tt0086589,woman director
An American Hippie in Israel,tt1388371,grindhouse
An American Hippie in Israel,tt1388371,psychedelic
Blood Beach,tt0082083,beach
Blood Beach,tt0082083,monster
Blood Beach,tt0082083,sand
Blood Beach,tt0082083,spoof
The Hunters of the Golden Cobra,tt0084104,treasure
The Hunters of the Golden Cobra,tt0084104,snake
The Hunters of the Golden Cobra,tt0084104,fistfight
The Hunters of the Golden Cobra,tt0084104,jungle
The Hunters of the Golden Cobra,tt0084104,airplane crash
The Hunters of the Golden Cobra,tt0084104,super power
The Hunters of the Golden Cobra,tt0084104,cobra
Intent to Kill,tt0107222,drug dealing
Intent to Kill,tt0107222,drugs
Intent to Kill,tt0107222,cult film
Maniac Cop,tt0095583,new york city
Maniac Cop,tt0095583,investigation
Maniac Cop,tt0095583,police
Maniac Cop,tt0095583,serial killer
Maniac Cop,tt0095583,police officer killed
Maniac Cop,tt0095583,slasher
Maniac Cop,tt0095583,maniac
Maniac Cop,tt0095583,cult film
Hard Ticket to Hawaii,tt0093146,diamond
Hard Ticket to Hawaii,tt0093146,hawaii
Hard Ticket to Hawaii,tt0093146,undercover agent
Hard Ticket to Hawaii,tt0093146,bikini
Hard Ticket to Hawaii,tt0093146,sexploitation
Hard Ticket to Hawaii,tt0093146,illegal drugs
Hard Ticket to Hawaii,tt0093146,dea agent
Hard Ticket to Hawaii,tt0093146,jacuzzi
Warlock,tt0098622,witch
Warlock,tt0098622,cemetery
Warlock,tt0098622,magic
Warlock,tt0098622,time travel
Warlock,tt0098622,aging
Warlock,tt0098622,curse
Warlock,tt0098622,warlock
Warlock,tt0098622,witch hunt
Maximum Overdrive,tt0091499,man vs machine
Maximum Overdrive,tt0091499,gas station
Maximum Overdrive,tt0091499,roadhouse
Maximum Overdrive,tt0091499,siege
Maximum Overdrive,tt0091499,lorry
Maximum Overdrive,tt0091499,comet
Maximum Overdrive,tt0091499,automation
Maximum Overdrive,tt0091499,truck
Maximum Overdrive,tt0091499,arcade
Maximum Overdrive,tt0091499,exploding truck
Maximum Overdrive,tt0091499,exploding gasoline station
Maximum Overdrive,tt0091499,inanimate objects coming to life
Nekromantik,tt0093608,menage a trois
Nekromantik,tt0093608,necrophilia
Nekromantik,tt0093608,relationship
Manos: The Hands of Fate,tt0060666,fire
Manos: The Hands of Fate,tt0060666,gun
Manos: The Hands of Fate,tt0060666,sacrifice
Manos: The Hands of Fate,tt0060666,flashlight
Manos: The Hands of Fate,tt0060666,cult
Manos: The Hands of Fate,tt0060666,fate
Manos: The Hands of Fate,tt0060666,cult film
Manos: The Hands of Fate,tt0060666,hand
Manos: The Hands of Fate,tt0060666,psychotronic
Superman IV: The Quest for Peace,tt0094074,saving the world
Superman IV: The Quest for Peace,tt0094074,mountain
Superman IV: The Quest for Peace,tt0094074,nuclear missile
Superman IV: The Quest for Peace,tt0094074,us army
Superman IV: The Quest for Peace,tt0094074,alter ego
Superman IV: The Quest for Peace,tt0094074,sequel
Superman IV: The Quest for Peace,tt0094074,superhero
Superman IV: The Quest for Peace,tt0094074,laboratory
Superman IV: The Quest for Peace,tt0094074,convertible
Superman IV: The Quest for Peace,tt0094074,super power
Superman IV: The Quest for Peace,tt0094074,catholic school
Superman IV: The Quest for Peace,tt0094074,newspaper editor
Superman IV: The Quest for Peace,tt0094074,nuclear weapons
Superman IV: The Quest for Peace,tt0094074,disarmament
Superman IV: The Quest for Peace,tt0094074,volcanic eruption
Superman IV: The Quest for Peace,tt0094074,great wall of china
Superman IV: The Quest for Peace,tt0094074,superhuman strength
Flash Gordon,tt0080745,emperor
Flash Gordon,tt0080745,solar eclipse
Flash Gordon,tt0080745,prince
Flash Gordon,tt0080745,fighter
Flash Gordon,tt0080745,deception
Flash Gordon,tt0080745,alien planet
Flash Gordon,tt0080745,duel
Flash Gordon,tt0080745,scientist
Flash Gordon,tt0080745,cult film
Flash Gordon,tt0080745,space opera
Flash Gordon,tt0080745,action hero
Flash Gordon,tt0080745,floating city
Flash Gordon,tt0080745,giant forest
Evil,tt0813129,zombie
Zardoz,tt0070948,future
Zardoz,tt0070948,dystopia
Zardoz,tt0070948,immortality
Zardoz,tt0070948,murder
Zardoz,tt0070948,cult film
Zardoz,tt0070948,savage
Dark Angel,tt0099817,overdose
Dark Angel,tt0099817,heroin
Dark Angel,tt0099817,cop
Dark Angel,tt0099817,alien
Dark Angel,tt0099817,shootout
Dark Angel,tt0099817,undercover cop
Dark Angel,tt0099817,drugs
The Girl in Room 2A,tt0075814,kidnapping
The Girl in Room 2A,tt0075814,sadism
The Girl in Room 2A,tt0075814,murder
The Girl in Room 2A,tt0075814,psycho killer
Interzone,tt0093268,shotgun
Interzone,tt0093268,treasure
Interzone,tt0093268,fight
Interzone,tt0093268,future
Interzone,tt0093268,warrior woman
Interzone,tt0093268,pregnancy
Interzone,tt0093268,post-apocalyptic future
Interzone,tt0093268,waterfall
Interzone,tt0093268,flashback
Interzone,tt0093268,snake bite
Interzone,tt0093268,mutants
Zaat,tt0072666,florida
Zaat,tt0072666,monster
Zaat,tt0072666,fish
Zaat,tt0072666,mutation
Zaat,tt0072666,radioactivity
Zaat,tt0072666,laboratory
Zaat,tt0072666,mad scientist
Zaat,tt0072666,man beast
American Ninja,tt0088708,rebel
American Ninja,tt0088708,sword
American Ninja,tt0088708,wilderness
American Ninja,tt0088708,daughter
American Ninja,tt0088708,ninja
American Ninja,tt0088708,soldier
American Ninja,tt0088708,gaijin
Krull,tt0085811,kingdom
Krull,tt0085811,dead body
Krull,tt0085811,magical object
Krull,tt0085811,fortress
Krull,tt0085811,cult film
Krull,tt0085811,swashbuckler
Krull,tt0085811,doppelgänger
Krull,tt0085811,cyclops
Krull,tt0085811,changeling
Krull,tt0085811,dark fantasy
Krull,tt0085811,warrior
Krull,tt0085811,action hero
Krull,tt0085811,sword and sorcery
Krull,tt0085811,outer space
Krull,tt0085811,good versus evil
The Beastmaster,tt0083630,sword
The Beastmaster,tt0083630,magic
The Beastmaster,tt0083630,sacrifice
The Beastmaster,tt0083630,pregnancy
The Beastmaster,tt0083630,tiger
The Beastmaster,tt0083630,sword fight
The Beastmaster,tt0083630,murder
The Beastmaster,tt0083630,severed head
The Beastmaster,tt0083630,massacre
The Beastmaster,tt0083630,battle
The Beastmaster,tt0083630,animal
The Beastmaster,tt0083630,witchcraft
The Beastmaster,tt0083630,dead dog
The Beastmaster,tt0083630,loin cloth
The Beastmaster,tt0083630,sword and sorcery
Raiders of the Living Dead,tt0138050,hostage
Raiders of the Living Dead,tt0138050,laser
Raiders of the Living Dead,tt0138050,zombie
Raiders of the Living Dead,tt0138050,cell phone
Raiders of the Living Dead,tt0138050,swat team
Raiders of the Living Dead,tt0138050,living dead
Raiders of the Living Dead,tt0138050,nuclear fallout
Raiders of the Living Dead,tt0138050,zombie apocalypse
3:15,tt0090564,gang
Karate Warrior 6,tt0253526,karate
Karate Warrior 6,tt0253526,sequel
Savage Streets,tt0088044,street gang
Savage Streets,tt0088044,rape
Savage Streets,tt0088044,fire
Savage Streets,tt0088044,punk band
Savage Streets,tt0088044,rape and revenge
Amsterdamned,tt0094651,slasher
Amsterdamned,tt0094651,psycho killer
Fatal Deviation,tt0488046,monk
Fatal Deviation,tt0488046,martial artist
Fatal Deviation,tt0488046,ireland
Fatal Deviation,tt0488046,underground fighting
Fatal Deviation,tt0488046,martial arts tournament
Fatal Deviation,tt0488046,martial arts training
Fatal Deviation,tt0488046,criminal gang
The Black Gestapo,tt0169620,blaxploitation
The Black Gestapo,tt0169620,grindhouse
SS Experiment Love Camp,tt0074768,experiment
SS Experiment Love Camp,tt0074768,prisoner of war
