title;imdb_id;original_title;budget;revenue;runtime;popularity;overview;year;rated;language;awards;metascore;imdb_rating;imdb_votes;rotten_rating
Raw Nerve;tt0102761;Raw Nerve;;;91;1,327;A race car driver has visions of the victims of a serial killer before their demise and tries to get a skeptic police detective and an ambitious reporter to help him find the killer.;1991;R;English;;;4;297;
Raw Justice;tt0110948;Raw Justice;;;95;8,814;The mayor of a small town hires a bounty hunter to find his daughter's killer, but it turns out to be a very dangerous job.;1994;R;English;1 win;;4,1;1341;
The Baby;tt0069754;The Baby;;;84;3,131;A social worker who recently lost her husband investigates the strange Wadsworth family. The Wadsworths might not seem too unusual to hear about them at first - consisting of the mother, two grown daughters and the diaper-clad, bottle-sucking baby. The problem is, the baby is twenty-one years old.;1973;PG;English;;;6,1;3694;93
Don't Go in the House;tt0080646;Don't Go in the House;250000;;82;5,869;As a child, Donald was tormented by his mother who used fire as a punishment. Now a deranged adult, Donald stalks women at clubs, then takes them home where he kills them with a flamethrower.;1979;R;English;;;5,6;4560;50
Conquest;tt0085356;Conquest;;;88;5,88;A young man, armed with a magical bow and arrows, embarks on a mystical journey through a mystical land to rid it of all evil and joins forces with an outlaw to take down an evil witch bent on claiming the magic bow for evil.;1983;R;Italian, Spanish;;;5,2;2421;
Warlords of the 21st Century;tt0084887;Warlords of the 21st Century;1000000;3000000;91;3,328;It's the 21st century, the Oil Wars have made a mess of the planet and the land outside major cities is lawless. After Hunter comes to the aid of Corlie, who has run away from the villainous Straker, he takes her to the peaceful community of Clearwater. Unfortunately for the citizens of Clearwater, Straker fully intends to get Corlie back.;1982;PG;English;2 wins & 1 nomination;;5;1361;
The Ninja Squad;tt0199845;The Ninja Squad;;;85;1,4;The Ninja empire is at stake as the supreme Ninja master and his disciple confront Ivan the Red, a power-hungry Ninja. When the police fail to help, the young disciple must reveal his amazing fighting ability to save his sister and avenge his mother's murder. The master must face Ivan the Red in a final gruelling duel to determine the fate of the Ninja Empire.;1986;;Cantonese;;;3,5;293;
Ultimax Force;tt0092127;Ultimax Force;;;90;0,6;"The ULTIMAX FORCE, an elite group of Commandos, a force combining the skills of a Ninja warrior with U.S. Commando training, penetrate deep into Vietnamese territory. Their mission - to liberate a POW camp run by a sadistic colonel, who has mercilessly slaughtered his prisoners in a display of rabid madness and butchery; a challenge which, for them, is the ULTIMATE MAXIMUM.";1987;;English;;;5,4;88;
Punk Vacation;tt0376098;Punk Vacation;;;94;1,649;A peaceful California town is shaken after the brutal murder of diner owner by a gang of vicious punks. When the daughter of the slain man attempts to avenge her father’s death, she’s held hostage by the gang resulting in an epic battle between punks and rednecks.;1990;Not Rated;English;;;3,7;313;
Suburbia;tt0086589;Suburbia;;;94;4,294;When household tensions and a sense of worthlessness overcome Evan, he finds escape when he clings with the orphans of a throw-away society. The runaways hold on to each other like a family until a tragedy tears them apart.;1983;R;English;1 win;73;6,9;5319;93
