,imdb_id,year,rated,awards,metascore,imdb_rating,imdb_votes,rotten_rating
0,tt0102761,1991,R,,,4.0,297,
1,tt0110948,1994,R,1 win,,4.1,1343,
2,tt0069754,1973,PG,,,6.1,3694,93.0
3,tt0080646,1979,R,,,5.6,4560,50.0
4,tt0085356,1983,R,,,5.2,2447,
5,tt0084887,1982,PG,2 wins & 1 nomination,,5.0,1374,
6,tt0199845,1986,,,,3.5,293,
7,tt0092127,1987,,,,5.4,88,
8,tt0376098,1990,Not Rated,,,3.7,313,
9,tt0086589,1983,R,1 win,73.0,6.9,5319,93.0
10,tt1388371,1972,R,,,4.8,650,
11,tt0082083,1980,R,,,4.5,2565,13.0
12,tt0084104,1982,TV-PG,,,5.0,354,
13,tt0107222,1992,NC-17,,,4.6,303,
14,tt0095583,1988,R,,40.0,6.0,17264,53.0
15,tt0093146,1987,R,,,4.9,4541,25.0
16,tt0098622,1989,R,1 win & 8 nominations,44.0,6.2,17035,53.0
17,tt0091499,1986,R,4 nominations,24.0,5.4,32618,15.0
18,tt0093608,1988,Not Rated,,,4.9,9476,50.0
19,tt0060666,1966,Not Rated,,,1.6,36321,0.0
20,tt0094074,1987,PG,2 wins & 6 nominations,24.0,3.7,48641,10.0
21,tt0080745,1980,PG,Nominated for 3 BAFTA 2 wins & 12 nominations total,58.0,6.5,56361,84.0
22,tt0094077,1987,R,,28.0,3.7,5701,17.0
23,tt0813129,2005,R,,,5.4,1809,
24,tt0070948,1974,R,Nominated for 1 BAFTA Award2 nominations total,46.0,5.8,22596,47.0
25,tt0099817,1990,R,,,6.1,12360,33.0
26,tt0075814,1974,R,,,5.4,647,
27,tt0108277,1993,R,,,4.4,1300,
28,tt0093268,1989,R,,,3.8,403,
29,tt0072666,1971,PG,,,2.1,5124,
30,tt0088708,1985,R,,20.0,5.4,15243,0.0
31,tt0085811,1983,PG,1 win & 5 nominations,45.0,6.1,33372,
32,tt0083630,1982,PG,1 win & 2 nominations,18.0,6.2,23253,50.0
33,tt0138050,1986,PG-13,,,2.6,542,
34,tt0090564,1986,R,,,5.6,714,
35,tt0088344,1984,,,,4.7,770,
36,tt0253526,1993,,,,2.3,70,
37,tt0088044,1984,R,1 win.,,6.2,5011,
38,tt0094651,1988,R,1 nomination,,6.6,8317,
39,tt0488046,1998,,,,5.1,433,
40,tt0169620,1975,R,,,4.7,1201,
41,tt0074768,1976,Not Rated,,,3.5,1318,
42,tt0071650,1975,R,1 win,,5.1,7675,36.0
43,tt0084935,1983,PG,3 nominations,,4.3,3232,17.0
44,tt0096040,1988,,,,4.5,98,
45,tt0166145,1988,TV-PG,,,5.4,146,
46,tt0093631,1987,R,,,5.0,91,
47,tt0103923,1990,PG-13,,,3.3,14036,13.0
48,tt0102984,1991,R,1 nomination,42.0,6.0,8743,33.0
